actiongeocountrycode,eventbasecode,No_events,Tone,Goldstein,yearmonth
AE,081,1,-7.95228628230616,5.0,201912
AE,081,31,-1.4507661148835738,5.0,202001
AE,081,17,-2.7392670246433792,5.0,202002
AE,082,3,5.10683484105411,5.0,202001
AE,083,3,-1.5151515151515167,5.0,192001
AE,083,1,0.24509803921568,5.0,201912
AE,083,36,0.6804093818422188,5.0,202001
AE,083,14,-0.4363710083888707,5.0,202002
AE,084,11,1.2849672453193521,7.0,192001
AE,084,1,3.19849482596425,7.0,201901
AE,084,2,1.8348623853211,7.0,201912
AE,084,123,-1.3049756748233161,7.0,202001
AE,084,111,-0.9287284409048014,7.0,202002
AE,085,1,-4.19235511713934,7.0,192001
AE,086,10,-1.2823749200527899,9.0,202001
AE,086,5,-2.3744886629203323,9.0,202002
AE,087,1,-2.88335517693316,10.0,192001
AE,087,57,-2.821076349069005,9.824561403508772,202001
AE,087,45,-0.004106471560047953,9.88888888888889,202002
AE,090,14,-2.766236196749908,-2.0,192001
AE,090,1,-7.82312925170068,-2.0,201902
AE,090,201,-1.7100212673538948,-2.0,202001
AE,090,205,-1.5381958411244259,-2.0,202002
AE,091,6,-2.9573744412703964,-2.0,202001
AE,091,6,-1.9618697687378432,-2.0,202002
AE,093,4,-1.95402298850575,-2.0,202001
AE,094,1,-4.20979986197378,-2.0,202001
AE,100,4,0.08644476646837251,-5.0,192001
AE,100,7,2.904684280834213,-5.0,201901
AE,100,1,-4.81927710843374,-5.0,201902
AE,100,74,-1.8025526297723629,-5.0,202001
AE,100,61,-0.9554645504796248,-5.0,202002
AE,101,2,-1.56794425087108,-5.0,202001
AE,101,7,-4.575567746888147,-5.0,202002
AE,104,1,2.3066485753053,-5.0,192001
AE,104,2,-0.8535450152036199,-5.0,202001
AE,104,6,-1.9210498763562034,-5.0,202002
AE,105,10,-4.425957485781722,-5.0,202001
AE,105,13,-4.311127701169149,-5.0,202002
AE,110,7,-1.96491495283378,-2.0,192001
AE,110,1,-2.20338983050847,-2.0,201901
AE,110,1,-4.25531914893617,-2.0,201912
AE,110,107,-2.4196949603396387,-2.0,202001
AE,110,156,-0.9241308343807129,-2.0,202002
AE,111,30,0.47686603461823385,-2.0,192001
AE,111,2,3.95828684962654,-2.0,201901
AE,111,1,1.28865979381443,-2.0,201902
AE,111,2,-6.89655172413793,-2.0,201912
AE,111,191,-0.3600836668218855,-2.0,202001
AE,111,185,0.783992541838409,-2.0,202002
AE,112,18,-4.191233433758573,-2.0,192001
AE,112,10,-6.11599078047378,-2.0,201901
AE,112,208,-5.172705807877999,-2.0,202001
AE,112,126,-4.408838991761781,-2.0,202002
AE,113,5,-4.894699590381622,-2.0,202001
AE,113,3,3.85852090032154,-2.0,202002
AE,114,7,-1.29733491843315,-2.0,192001
AE,114,57,-3.3309317339871454,-2.0,202001
AE,114,39,-3.314816714300216,-2.0,202002
AE,115,2,-2.23214285714286,-2.0,192001
AE,115,1,-4.98220640569395,-2.0,201912
AE,115,6,-5.593321833318722,-2.0,202001
AE,115,2,-9.245232493640135,-2.0,202002
AE,120,18,-1.69391701891806,-4.0,192001
AE,120,1,-1.60857908847185,-4.0,201002
AE,120,1,-1.30718954248366,-4.0,201901
AE,120,3,-1.020300318680097,-4.0,201902
AE,120,145,-2.3615145439342875,-4.0,202001
AE,120,199,-1.4920282918858947,-4.0,202002
AE,121,1,-2.32558139534883,-4.0,202001
AE,122,7,6.24191126724026,-4.0,202002
